,run,reading,page_num,num_blinks,num_fixations,num_saccades,norm_blink_freq,pupil_slope,mean_pupil_size,mean_blink_duration,norm_pupil_size,norm_num_word_fix,norm_saccade_count,norm_in_word_regression,norm_out_word_regression,zscored_zipf_duration_correlation,zipf_duration_correlation,norm_total_viewing,zscored_word_length_duration_correlation,word_length_duration_correlation,reported_MW,valid_MW,win_start,win_end,task_start,page_start,page_end,win_duration,win_type,sub_id
0,1,Serena Williams,0,0,10,9,0.0,1.10682215833992,2185.597359735973,0.0,1.2124942983777849,1.9815059445178205,2.9722589167767306,0.0,0.4,0.9347019887006887,0.1646194185395025,0.4955,-0.6251209436203113,-0.1013914236300428,1,0,1057.564,1060.592,1007.03,1007.12,1061.13,3.02800000000002,,s10093
1,1,Serena Williams,1,1,13,12,0.349772647778953,2.8416975283694144,1877.1352868554347,0.039,1.0413701418777843,1.7488632388947651,4.1972717733474365,0.3846153846153846,0.3076923076923077,0.6850758118386211,0.1074369842014766,0.7043999999999999,-1.6078106526884324,-0.3061136494063222,1,0,1133.51,1136.369,1007.03,1097.005,1137.753,2.858999999999924,,s10093
2,1,Serena Williams,2,0,20,19,0.0,-0.0255564670930128,1802.8977272727277,0.0,1.000185695292258,1.7848450429985363,3.0829141651792904,0.1,0.35,1.643946430249637,0.3270876509111909,0.6470909090909092,-1.0036105506277038,-0.1802415775135321,1,1,1213.502,1219.665,1007.03,1184.765,1220.12,6.163000000000011,MR,s10093
3,1,Serena Williams,3,0,14,13,0.0,-0.6654763143117761,1832.6766304347825,0.0,1.0167060072953331,2.1739130434783576,3.532608695652331,0.4285714285714285,0.1428571428571428,-1.1418117718259404,-0.311052296886928,0.487625,1.0887084090940542,0.2556479922208901,1,0,1296.084,1299.764,1007.03,1270.724,1312.768,3.679999999999836,,s10093
4,1,Serena Williams,4,8,294,295,0.102656229949955,0.0152564362053338,1840.0641333859396,0.059125,1.020804340031519,2.232773001411521,3.785448479404591,0.1632653061224489,0.2176870748299319,0.1553203906672751,-0.0139152912975876,0.3884022988505747,-0.24220788830666873,-0.0216197396089065,0,0,,,1007.03,1351.302,1429.232,77.93000000000006,NR,s10093
5,1,Serena Williams,5,0,11,10,0.0,2.4971375610804434,1709.8093385214008,0.0,0.948543456568199,2.7290448343079343,3.898635477582763,0.0909090909090909,0.2727272727272727,-1.076427873496552,-0.2960746590446823,0.3714285714285714,0.7706505268593801,0.1893874860042136,1,0,1450.739,1453.304,1007.03,1429.399,1454.362,2.5650000000000546,,s10093
6,1,Serena Williams,6,0,6,5,0.0,-0.0964343036978785,1373.741935483871,0.0,0.7621048116647944,2.41935483870966,4.0322580645161,0.3333333333333333,0.1666666666666666,,,0.5046666666666667,-2.5807217908979947,-0.5087987206539625,1,0,1539.775,1541.015,1007.03,1515.078,1542.675,1.240000000000009,,s10093
7,1,Serena Williams,7,1,10,9,0.3957261574990038,3.0921257621116194,1717.907363291082,0.264,0.9530359623893748,3.165809259992031,3.5615354174910347,0.2,0.0,3.2091633138581654,0.6856354314236873,0.32875,-2.79248001390427,-0.5529139834273811,1,0,1641.522,1644.049,1007.03,1592.668,1646.461,2.527000000000044,,s10093
8,1,Serena Williams,8,5,134,135,0.1378853896641114,-0.2891155461356684,1664.92269788568,0.1268,0.9236418910526192,2.233743312558605,3.722905520931008,0.2388059701492537,0.1567164179104477,-0.20248103680511592,-0.0958776755702803,0.3870493827160494,0.3511954769859202,0.1020030648275365,0,0,,,1007.03,1673.467,1709.729,36.26199999999994,NR,s10093
9,1,Serena Williams,9,9,270,270,0.1181971002311409,-0.0588593560712501,2202.025824131897,0.0426666666666666,1.2216082457946895,1.930552637108636,3.5459130069342297,0.1851851851851851,0.2444444444444444,0.05125601017273516,-0.0377535548938147,0.4455306122448979,0.3030241460873615,0.0919676060360626,0,0,,,1007.03,1709.899,1786.043,76.144,NR,s10093
10,2,History of Film,0,8,326,327,0.0849789146068131,0.0166090877358589,1838.136110484252,0.08625,1.019734739189889,1.7951795710689271,3.473513134553486,0.263803680981595,0.1779141104294478,0.7826990404613996,0.1297997585337241,0.4925207100591716,-0.603759092023552,-0.096941142157432,0,0,,,2329.271,2329.38,2423.521,94.14100000000008,NR,s10093
11,2,History of Film,1,1,7,6,0.6720430107527654,-1.0418999257185295,1832.3146863286288,0.086,1.0165052131448975,3.360215053763827,4.032258064516593,0.1428571428571428,0.2857142857142857,-1.6861617284794512,-0.4357477757206489,0.4584,1.2382752893503042,0.2868070288383695,1,0,2424.974,2426.462,2329.271,2423.701,2429.434,1.487999999999829,,s10093
12,2,History of Film,2,8,269,270,0.1076411781326941,0.0330543816111721,1722.0690235964248,0.10825,0.9553447084946608,1.9509963536550807,3.632889761978427,0.2453531598513011,0.1858736059479553,0.4193093212791709,0.0465572516081251,0.4393241379310345,-0.1933921845006165,-0.011450039607176,0,0,,,2329.271,2521.825,2596.146,74.32100000000037,NR,s10093
13,2,History of Film,3,0,8,7,0.0,0.5509073444657855,1467.084577114428,0.0,0.8138881011478323,1.4866204162536951,3.4687809712586217,0.25,0.125,1.6630773813346664,0.331470021253898,0.6809999999999999,-1.6462505354824408,-0.3141217706795482,1,0,2609.742,2611.76,2329.271,2596.318,2614.221,2.018000000000029,,s10093
