eye,tStart,tEnd,duration
R,675043,675105,63
L,675036,675120,85
R,676032,676108,77
L,676027,676115,89
R,677251,677314,64
L,677242,677339,98
R,678408,678483,76
L,678403,678490,88
R,679373,679458,86
L,679368,679467,100
R,680256,680330,75
L,680251,680353,103
R,680688,681193,506
L,680678,681245,568
R,681545,681632,88
L,681536,681645,110
R,682242,683465,1224
L,682252,683479,1228
R,684690,684763,74
L,684686,684780,95
R,685225,685319,95
L,685218,685335,118
R,686261,687157,897
L,686251,687191,941
R,687332,687409,78
L,687321,687417,97
R,687698,687890,193
L,687688,687916,229
R,688073,688181,109
L,688066,688191,126
R,688868,689279,412
L,688864,689281,418
R,689528,689618,91
L,689521,689630,110
R,690127,690179,53
R,690293,690630,338
R,690729,690864,136
R,690934,691035,102
R,691117,691248,132
L,691129,691251,123
R,692009,692525,517
L,691963,692544,582
R,693211,693310,100
L,693203,693318,116
R,694046,694145,100
L,694041,694162,122
R,696529,696610,82
L,696522,696619,98
R,698051,698138,88
L,698045,698147,103
R,699764,699816,53
L,699761,699822,62
R,701065,701144,80
L,701061,701149,89
R,702477,702553,77
L,702472,702559,88
R,704161,704235,75
L,704158,704246,89
R,705795,705888,94
L,705791,705897,107
R,708077,708159,83
L,708069,708174,106
R,709253,709336,84
L,709249,709350,102
R,710213,710307,95
L,710206,710326,121
R,710915,711041,127
L,710912,711051,140
R,712517,712599,83
L,712511,712611,101
R,713741,713809,69
L,713736,713821,86
R,714738,714817,80
L,714731,714831,101
R,715817,715927,111
L,715814,715933,120
R,716753,716846,94
L,716749,716857,109
R,717674,717765,92
L,717669,717776,108
R,719957,720056,100
L,719952,720064,113
R,720943,721042,100
L,720938,721052,115
R,722786,722896,111
L,722783,722905,123
R,724450,724575,126
L,724444,724584,141
R,726069,726180,112
L,726063,726193,131
R,727361,727438,78
L,727352,727453,102
L,728549,728712,164
R,728549,728712,164
R,730441,730559,119
L,730436,730576,141
R,731205,731323,119
L,731197,731344,148
R,733314,733398,85
L,733309,733411,103
R,734430,734530,101
L,734432,734551,120
L,736431,736556,126
R,736435,736558,124
R,737642,737760,119
L,737641,737784,144
R,739104,739213,110
L,739100,739238,139
R,740196,740337,142
L,740194,740356,163
R,742858,742975,118
L,742857,742985,129
R,743820,743935,116
L,743824,743945,122
R,745093,745194,102
L,745081,745209,129
R,746132,746232,101
L,746124,746244,121
R,747706,747840,135
L,747690,747864,175
R,749984,750075,92
L,749977,750122,146
R,750426,750555,130
L,750421,750562,142
R,752735,752836,102
L,752726,752897,172
R,754284,754335,52
L,754278,754349,72
R,755464,755544,81
L,755459,755554,96
R,756683,756745,63
L,756676,756759,84
R,756932,757003,72
L,756924,757010,87
L,759710,760978,1269
R,759655,761277,1623
L,761203,761282,80
R,763536,763623,88
L,763534,763625,92
R,764864,764924,61
L,764856,764942,87
R,766789,766855,67
L,766782,766865,84
R,768305,768366,62
L,768300,768379,80
R,769149,769256,108
L,769146,769263,118
R,769707,769867,161
L,769702,769880,179
R,770877,770963,87
L,770875,770967,93
R,771878,771969,92
L,771872,771978,107
R,774062,774121,60
L,774057,774133,77
R,777464,777518,55
L,777457,777533,77
R,778163,778259,97
L,778155,778270,116
R,781442,781495,54
L,781437,781506,70
R,782282,782346,65
L,782276,782354,79
R,783413,783478,66
L,783406,783490,85
R,784329,784407,79
L,784326,784418,93
R,785198,785319,122
L,785184,785322,139
R,786526,786607,82
L,786522,786614,93
L,787476,787598,123
R,787477,787601,125
R,788695,788765,71
L,788691,788775,85
R,789889,789972,84
L,789886,789981,96
R,792035,792115,81
L,792030,792127,98
R,793371,793456,86
L,793366,793476,111
R,794883,794989,107
L,794879,795003,125
R,796103,796199,97
L,796097,796216,120
R,796959,797078,120
L,796956,797084,129
R,798037,798144,108
L,798033,798163,131
R,800184,800275,92
L,800175,800287,113
R,801356,801491,136
L,801354,801493,140
R,803082,803206,125
L,803078,803224,147
R,806223,806325,103
L,806218,806331,114
R,808863,808966,104
L,808862,808975,114
R,809721,809835,115
L,809717,809853,137
R,811797,811904,108
L,811793,811906,114
R,813902,814017,116
L,813899,814019,121
R,816991,817106,116
L,816986,817112,127
L,818547,818659,113
R,818550,818662,113
R,819251,819384,134
L,819248,819433,186
R,821225,821300,76
R,821455,821591,137
L,821201,821607,407
R,822736,822887,152
L,822726,822906,181
R,825170,825333,164
L,825172,825350,179
L,829902,829924,23
R,830453,830568,116
L,830446,830575,130
R,832396,832474,79
L,832393,832478,86
R,833485,833603,119
L,833482,833605,124
R,835157,835261,105
L,835151,835270,120
R,836454,836565,112
L,836447,836575,129
R,838093,838185,93
L,838085,838195,111
R,840118,840189,72
L,840111,840204,94
R,840880,840952,73
L,840873,840962,90
R,842621,842718,98
L,842614,842735,122
R,843654,843767,114
L,843499,843776,278
R,846299,846409,111
L,846293,846415,123
L,852029,852938,910
R,852041,852942,902
R,854652,854718,67
L,854645,854727,83
R,855539,855618,80
L,855535,855636,102
R,857045,857131,87
L,857035,857144,110
R,858297,858392,96
L,858297,858398,102
R,861519,861638,120
L,861516,861644,129
R,863536,863652,117
L,863532,863665,134
R,864700,864823,124
L,864698,864824,127
R,865221,865338,118
L,865221,865359,139
L,867846,867983,138
R,867846,867985,140
R,869339,869462,124
L,869328,869475,148
L,873254,873375,122
R,873262,873397,136
R,874716,874838,123
L,874715,874867,153
R,878367,878459,93
L,878351,878483,133
R,879563,879719,157
L,879549,879754,206
L,881071,881121,51
L,881535,881648,114
R,881088,881672,585
R,884747,884928,182
L,884738,884956,219
L,888046,888630,585
R,888085,888658,574
R,893155,893229,75
L,893150,893235,86
R,894589,894677,89
L,894583,894685,103
R,896239,896336,98
L,896235,896342,108
R,901445,901522,78
L,901440,901529,90
R,903860,903919,60
L,903852,903931,80
R,910176,910274,99
L,910168,910279,112
R,918645,918797,153
L,918618,918807,190
R,920136,920301,166
L,920123,920326,204
R,921487,922199,713
R,922716,922857,142
L,921475,922971,1497
R,923252,923348,97
L,923237,923370,134
R,924159,924331,173
L,924151,924350,200
R,925423,925628,206
L,925389,925655,267
R,926624,926790,167
L,926617,926815,199
R,927614,927785,172
L,927606,927799,194
R,928692,929122,431
L,928689,929140,452
R,929427,929535,109
L,929418,929553,136
L,930757,930882,126
L,931448,935899,4452
R,930360,935939,5580
R,936763,936868,106
L,936752,936872,121
R,937630,937733,104
L,937616,937762,147
R,938737,938877,141
L,938715,938896,182
R,939692,939887,196
L,939686,939895,210
L,941759,941922,164
R,941770,941929,160
R,945930,946013,84
L,945918,946021,104
R,946789,946877,89
R,947418,947632,215
R,948238,948533,296
L,946468,948853,2386
L,949025,949038,14
L,949121,949142,22
R,950014,950090,77
L,949996,950118,123
L,950896,952009,1114
R,950906,952015,1110
R,952832,952925,94
L,952822,952936,115
R,953571,953676,106
L,953563,953689,127
R,954252,954352,101
L,954243,954368,126
R,954971,955053,83
L,954962,955073,112
R,955997,956134,138
L,955988,956152,165
R,956817,956909,93
L,956807,956926,120
R,958026,958128,103
L,958017,958147,131
R,959171,959305,135
L,959165,959320,156
R,960187,960295,109
L,960177,960313,137
R,961617,961748,132
L,961608,961764,157
R,962543,962654,112
L,962533,962677,145
R,963909,964017,109
L,963900,964038,139
