eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
R,674155,674180,26,1001.3,560.8,1076.6,438.7,3.0,230
L,674155,674185,31,977.2,556.5,1063.1,406.0,3.7,237
L,674381,674422,42,1062.8,404.9,672.8,425.9,8.3,362
R,674382,674422,41,1084.5,429.8,695.7,439.2,8.2,344
L,674473,674494,22,691.9,428.9,751.6,382.4,1.6,141
R,674474,674494,21,695.3,438.9,762.9,396.6,1.7,148
L,674629,674654,26,752.8,388.4,918.7,381.5,3.5,244
R,674627,674654,28,756.5,396.0,951.3,393.9,4.1,290
R,674895,674934,40,954.0,401.2,550.8,511.0,8.8,408
L,674894,674935,42,938.3,393.5,525.7,496.6,8.9,408
R,675025,675135,111,547.0,515.9,642.6,467.3,2.2,936
L,675018,675156,139,543.2,510.9,609.7,442.6,2.0,776
L,675192,675226,35,611.2,473.5,874.3,476.4,5.6,278
R,675191,675227,37,642.5,479.9,922.7,484.7,5.9,313
R,675416,675445,30,908.3,485.0,1076.3,487.2,3.6,215
L,675417,675447,31,875.2,474.8,1041.8,484.2,3.5,184
L,675674,675700,27,1049.4,498.6,1231.7,502.3,3.9,235
R,675674,675701,28,1081.3,485.1,1286.5,477.9,4.3,268
L,675854,675871,18,1266.5,491.3,1331.8,489.9,1.4,102
R,675852,675871,20,1306.5,475.4,1375.6,472.0,1.4,119
L,675924,675967,44,1326.6,485.9,752.6,562.9,12.1,504
R,675924,675968,45,1372.2,468.6,802.0,561.9,12.1,491
R,676014,676143,130,784.1,560.4,1045.6,507.3,5.7,727
L,676009,676152,144,761.5,558.5,1010.7,465.8,5.6,958
L,676296,676329,34,1004.0,528.2,714.0,530.4,6.1,341
R,676297,676330,34,1044.8,518.3,751.5,525.8,6.2,335
L,676610,676632,23,714.7,542.7,811.0,552.8,2.0,153
R,676609,676632,24,747.5,533.1,853.9,546.7,2.3,168
L,676718,676742,25,817.3,548.9,677.1,538.0,3.0,208
R,676718,676743,26,843.0,547.5,717.8,544.7,2.6,181
R,677106,677132,27,716.1,550.9,569.4,627.4,3.5,215
L,677105,677134,30,690.1,554.1,530.4,644.3,3.8,224
R,677232,677352,121,558.1,641.4,616.8,627.3,1.2,1270
R,677383,677415,33,611.3,651.9,863.1,655.9,5.3,310
L,677222,677417,196,526.9,650.0,816.0,637.5,6.0,837
L,677619,677650,32,834.2,653.1,1052.0,641.6,4.6,242
R,677618,677650,33,860.8,655.7,1082.7,637.3,4.7,263
L,677937,677967,31,1052.9,643.5,1290.1,648.2,5.0,277
R,677935,677967,33,1083.0,642.6,1338.0,630.1,5.3,306
L,678085,678130,46,1305.6,645.5,740.6,749.1,11.9,488
R,678086,678131,46,1342.4,631.6,787.1,765.8,11.9,483
R,678292,678324,33,788.3,758.0,1007.2,709.2,4.7,287
L,678292,678326,35,754.2,741.0,984.0,715.3,4.8,251
R,678392,678508,117,999.7,714.8,1037.4,635.9,1.8,1488
L,678385,678529,145,985.5,714.9,982.7,593.9,2.5,734
